Timestamp,chl,air_temp,PAR_5dm,temp_75dm,temp_10m,latitude,chl_backscatter_fluoro_532nm,PAR_1m,temp_25dm,longitude,chl_DOM_fluoro_460nm,pressure_db_20m,temp_5m,r1,g1,b1,r2,g2,b2,month_day_time_int
2014-03-09 00:10:00,0.013515463500000002,28.45868,36.07225143,-1.4526606795,-1.6324840785,71.573009375,0.00032732750000000004,16.903675685,-1.476492286,-153.07147314999997,2.2354815175000002,105.37988665,-1.5805344579999998,4,123,127,4,219,217,578940
2014-03-13 20:10:00,0.03811054,22.700173333333336,1.9663225796666666,11.107886950000001,-1.6933424076666668,71.55493433999999,0.0003427666666666666,1.6940243629999998,17.198768613333332,-153.67334033333336,2.3543310403333333,104.0,-42.18646494666666,4,127,130,4,43,50,620700
2014-03-14 19:10:00,0.03133094433333333,22.039393333333333,1.2236205743333333,13.44812234,-1.7000325920000001,71.55497570333334,0.000333053,0.9945878876666666,20.77212778666667,-153.67338530000004,2.1898710803333334,104.0,-46.036806739999996,4,128,129,4,46,51,628980
2014-03-15 19:10:00,0.037506129666666665,22.89970333333333,1.4480208616666665,15.834142686666667,-1.700000048,71.55494483666666,0.0003448316666666667,1.0668805416666667,24.449869790000005,-153.6735186,2.305695780666667,103.99999236666667,-48.737000779999995,4,129,135,4,44,52,637620
2014-03-16 19:10:00,0.022235440666666665,25.86009,1.4035177823333331,18.163474400000002,-1.697787881,71.55497570666667,0.00034451833333333336,1.219001336,28.075793583333336,-153.6734671,2.472854472333333,105.27343243333333,-50.17299270666666,4,133,138,4,44,52,646260
2014-03-17 20:10:00,0.03749990533333333,24.878043333333334,1.4494894293333334,20.530092240000002,-1.700000048,71.55497174666667,-0.00023126566666666667,1.2252811976666667,31.797962190000003,-153.67348920000003,2.298345678,104.99998726666666,-50.41347376666667,4,130,135,4,45,53,655260
2014-03-18 19:10:00,0.041718271333333334,25.931359999999998,1.086526538,22.65396945,-1.6902244883333335,71.55498907666667,0.0003159463333333333,0.9076181006666667,35.173177083333336,-153.67342093333332,2.237861896333333,105.00153096666668,-49.582454676666664,4,126,133,4,44,53,663540
2014-03-19 19:10:00,0.029880753,26.036483333333333,1.2213207633333334,24.81608073,-1.6990897259999997,71.55503102,0.00031003,1.0160829573333334,38.645137786666666,-153.6735714666667,2.1342486536666665,107.0166321,-47.72097524,4,128,135,4,45,54,672180
2014-03-20 23:10:00,0.03749525766666667,21.564334666666664,3.2821190540000003,27.269324616666665,-1.700000048,71.55499548666667,0.000324046,2.5324180183333334,42.63154093333333,-153.673534,2.236794317333333,108.00001523333333,-44.37443542666667,4,125,127,4,43,49,682260
2014-03-21 21:10:00,0.045070249666666666,31.31165333333333,3.017727689333333,29.145045596666666,-1.7100310723333332,71.55495958,0.000318996,2.4571219506666666,45.715443933333326,-153.67341123333333,2.1363763799999997,107.00704193333333,-40.93843460333333,4,125,126,4,41,47,690180
2014-03-22 21:10:00,0.04596808733333333,29.98253,3.0970396926666663,31.139735536666667,-1.6967576739999999,71.55502852666666,0.00030746,2.5111400336666665,49.03150304,-153.67358446666665,2.143590184666667,108.0,-36.46184158333333,4,139,144,4,52,59,698820
2014-03-23 21:10:00,0.054167326666666675,28.63494,3.414302894,33.08109410333333,-1.690000057,71.55502607999999,0.00029060733333333334,2.8187220726666666,52.297508240000006,-153.67339103333333,2.1433055396666667,106.99980420000001,-31.30558904333333,4,127,127,4,44,49,707460
2014-03-24 21:10:00,0.06672867966666667,30.41177666666667,3.7152439240000006,34.96959559333333,-1.686647733,71.55500248999999,0.00029345166666666666,2.973359261666667,55.51371002333334,-153.67340453333333,2.1133612186666664,107.0,-25.552203496666664,4,137,139,4,53,57,716100
2014-03-25 21:10:00,0.07918051266666666,31.509446666666665,3.9341296296666664,36.805713653333335,-1.6899998983333333,71.55507111666667,0.010105601,3.048307026,58.68035634333333,-153.67344066666666,28.74382156,106.00398763333334,-19.28420957,4,136,138,4,48,54,724740
2014-03-26 21:10:00,0.07497160233333333,32.215920000000004,4.1598687456666665,38.58992259,-1.7000001273333332,71.55502077,0.00029059066666666666,3.278909082333333,61.79769515666667,-153.6734562,2.050725694,105.0,-12.584130923333333,4,138,140,4,53,58,733380
2014-03-27 21:10:00,0.09174642366666667,20.737365066666666,4.633349057,40.32269668666667,-1.700000048,71.55502567333333,0.000298971,3.5103706733333335,64.86597696666666,-153.673415,2.081302536,105.668602,-5.534491062,4,140,141,4,54,58,742020
2014-03-28 21:10:00,0.09142307433333334,33.114920000000005,4.678530953666667,42.00450897333333,-1.7000002863333332,71.55502403666667,0.0022330436666666664,3.5830575163333336,67.88545481666667,-153.67335276666665,2.168217842666667,106.0,1.7821846806666668,4,144,146,5,52,58,750660
2014-03-29 21:10:00,0.095721753,27.514506666666666,4.906021561333334,43.635833736666676,-1.700000048,71.55502290999999,0.000318481,3.739191296,70.85637410666668,-153.67340249999998,2.019601542333333,106.0,9.283372561333332,4,139,142,4,54,59,759300
2014-03-30 21:10:00,0.104074707,27.304486666666666,5.202832625,45.21714528333333,-1.700000048,71.55503372,0.00029623166666666663,3.813500637333334,73.77898407333333,-153.67345986666666,2.0211331636666667,105.9995982,16.886547723333333,4,139,142,4,54,59,767940
2014-03-31 21:10:00,0.11249381800000001,26.29805,5.425846519666667,46.74891535333333,-1.700000048,71.55500071666667,0.000301788,4.042463776000001,76.65353647666667,-153.67339776666668,2.0505973560000004,106.99928283333334,24.50918579,4,142,144,5,50,56,776580
