deviceId,DataDateTime,DeviceName,GPSLatitude,GPSLongitude,SubmergedBool,PressPod1,PressPod2,SST,TempPod1,TempPod2,TempPod3,TempPod4,TempPod5,TempPod6,TempPod7,37IMSST1,37IMSST2,37IMSST3,37IMSST4,37IMSalinity1,37IMSalinity2,37IMSalinity3,37IMSalinity4,sigT1,sigT2,sigT3,sigT4,LI_192_0,LI_192_0_StdDev,LI_192_1,LI_192_1_StdDev,LI_192_2,LI_192_2_StdDev,LI_192_3,LI_192_3_StdDev,LI_192_4,LI_192_4_StdDev,LI_192_5,LI_192_5_StdDev,LI_192_6,LI_192_6_StdDev,LI_192_7,LI_192_7_StdDev,LI_192_8,LI_192_8_StdDev,MS9_1_Tilt,MS9_1_410nm,MS9_1_440nm,MS9_1_490nm,MS9_1_510nm,MS9_1_550nm,MS9_1_636nm,MS9_1_660nm,MS9_1_685nm,MS9_1_710nm,MS9_1_PAR,ECO_460CDOM,ECO_532nm,ECO_695Chl,Cyclops_Chl,Cyclops_Chl_StdDev,,,
8,3/31/2018 16:00,WB-I-0008,71.86187,-144.372437,0,212,498,-9.18,-1.56,-1.56,-1.57,-1.56,-1.55,-1.51,-0.59,-1.562,-1.5612,-1.5592,-0.2203,28.78475,28.79355,28.80361,31.05304,23.13913,23.1863,23.24435,25.16724,114.3239,-9,3.16974,-9,2.20262,-9,2.2506,-9,1.39293,-9,0.9096,-9,0.59868,-9,0.29768,-9,0,-9,2.81,0.1084265,0.1672931,0.1924364,0.1908114,0.36944,-0.1598855,0,0,0,1.916808,1.0884,0.00023436,0.2299,0.1382489,-9,,,
8,3/31/2018 17:00,WB-I-0008,71.865883,-144.369659,0,211,498,-9.34,-1.56,-1.56,-1.57,-1.56,-1.56,-1.51,-0.61,-1.5612,-1.5615,-1.5634,-0.2486,28.78859,28.79533,28.81311,31.09814,23.14175,23.18727,23.25163,25.20428,178.0472,-9,4.98102,-9,3.61859,-9,3.45092,-9,2.16678,-9,1.516,-9,1.04769,-9,0.59536,-9,2.00E-10,-9,3.15,0.2283155,0.3187719,0.3385935,0.3268186,0.5894302,-0.07845831,0,0,0,3.255093,1.0884,0.00023436,0.2299,0.1382489,-9,,,
8,3/31/2018 18:00,WB-I-0008,71.869911,-144.365448,0,211,498,-8.58,-1.57,-1.57,-1.57,-1.56,-1.56,-1.5,-0.66,-1.5624,-1.5629,-1.567,-0.265,28.79465,28.79683,28.80641,31.10948,23.14668,23.1885,23.24623,25.21408,255.6718,-9,8.995647,-9,5.50655,-9,5.2514,-9,3.40494,-9,2.274,-9,1.64637,-9,0.89304,-9,0.16546,-9,3.13,0.3863178,0.5269557,0.5560914,0.5341169,0.9206365,0.003484859,0,0,0,5.230992,1.0884,0.00023436,0.2299,0.1382489,-9,,,
8,3/31/2018 19:00,WB-I-0008,71.874138,-144.36087,0,211,498,-7.67,-1.57,-1.57,-1.57,-1.57,-1.54,-1.51,-0.65,-1.5667,-1.5661,-1.5547,-0.2558,28.80385,28.80278,28.8184,31.08398,23.1542,23.19337,23.25582,25.19314,322.2866,-9,10.11298,-9,6.45053,-9,6.15164,-9,3.86925,-9,2.7288,-9,1.94571,-9,1.04188,-9,0.16546,-9,2.81,0.4843026,0.6393526,0.6536635,0.6211949,1.063996,0.01114253,0,0,0,6.164267,1.0884,0.00023436,0.2299,0.1497697,-9,,,
8,3/31/2018 20:00,WB-I-0008,71.878529,-144.355549,0,211,498,-6.851935,-1.57,-1.57,-1.57,-1.560323,-1.550323,-1.54,-0.6203226,-1.567897,-1.567413,-1.565381,-0.2598549,28.80795,28.80606,28.82298,31.09569,23.15754,23.19604,23.25965,25.20275,468.7133,-9,12.44829,-9,9.810152,-9,8.87391,-9,5.902233,-9,4.108696,-9,3.00551,-9,1.644364,-9,0.3287199,-9,3.18,0.6362807,0.8787738,0.9550854,0.9176918,1.521705,0.04891069,0,0,0,8.877209,1.088401,0.000226212,0.2298491,0.1265768,-9,,,
8,3/31/2018 21:00,WB-I-0008,71.883484,-144.350708,0,211,498,-6.3,-1.57,-1.57,-1.57,-1.56,-1.56,-1.53,-0.6,-1.5689,-1.5653,-1.56,-0.2198,28.81019,28.81193,28.83577,31.00878,23.15937,23.20078,23.26997,25.13103,597.7537,-9,13.88648,-9,10.06912,-9,10.35276,-9,6.96465,-9,5.0028,-9,3.74175,-9,2.08376,-9,0.49638,-9,3.3,0.7260519,1.018411,1.130878,1.088726,1.789231,0.0705412,0,0,0,10.45858,1.0884,0.00023436,0.2178,0.1267282,-9,,,
8,3/31/2018 22:00,WB-I-0008,71.888573,-144.346649,0,211,498,-5.62,-1.57,-1.57,-1.57,-1.56,-1.56,-1.55,-0.52,-1.5681,-1.5674,-1.5623,-0.2167,28.81309,28.81274,28.82509,31.01155,23.16171,23.20146,23.26133,25.13314,618.2164,-9,13.88648,-9,10.06912,-9,10.65284,-9,7.11942,-9,5.0028,-9,3.74175,-9,2.08376,-9,0.49638,-9,3.6,0.7533957,1.047723,1.155134,1.11002,1.823296,0.07216241,0,0,0,10.68935,1.0884,0.00023436,0.242,0.1267282,-9,,,
8,3/31/2018 23:00,WB-I-0008,71.893791,-144.342468,0,211,498,-5.12,-1.57,-1.57,-1.57,-1.56,-1.56,-1.54,-0.53,-1.567,-1.5658,-1.5629,-0.2159,28.80631,28.81024,28.83002,30.95632,23.1562,23.19942,23.26534,25.08854,500.2226,-9,11.92426,-9,8.65315,-9,9.0024,-9,6.03603,-9,4.3964,-9,3.14307,-9,1.78608,-9,0.5409654,-9,3.97,0.6564696,0.8989219,0.9700872,0.9290551,1.539996,0.04898245,0,0,0,9.012741,1.0884,0.00023436,0.242,0.1382489,-9,,,
8,4/1/2018 0:00,WB-I-0008,71.898041,-144.337082,0,211,498,-4.51,-1.57,-1.57,-1.57,-1.56,-1.56,-1.51,-0.56,-1.566,-1.5657,-1.5654,-0.2473,28.78971,28.78758,28.79752,30.81318,23.14271,23.18103,23.239,24.97427,445.3961,-9,9.50922,-9,6.92252,-9,7.20192,-9,4.79787,-9,3.4868,-9,2.54439,-9,1.33956,-9,0.33092,-9,2.78,0.5353394,0.7245368,0.7660161,0.7307016,1.231293,0.02314644,0,0,0,7.147786,1.0884,0.00023436,0.242,0.1382489,-9,,,
8,4/1/2018 1:00,WB-I-0008,71.900505,-144.329514,0,211,498,-4.28,-1.57,-1.57,-1.57,-1.56,-1.55,-1.51,-0.56,-1.5646,-1.5653,-1.5633,-0.2403,28.77313,28.78325,28.79331,30.9371,23.12925,23.17751,23.23556,25.07399,293.2608,-9,5.88666,-9,4.40524,-9,4.65124,-9,3.0954,-9,2.274,-9,1.64637,-9,0.89304,-9,0.16546,-9,2.59,0.3372524,0.452121,0.4640435,0.4406641,0.7727498,1.00E-10,0,0,0,4.394404,1.0884,0.00022599,0.242,0.1382489,-9,,,
8,4/1/2018 2:00,WB-I-0008,71.900628,-144.321461,0,211,498,-3.223548,-1.560323,-1.560323,-1.560323,-1.56,-1.540645,-1.41129,-0.5187097,-1.559648,-1.559468,-1.55061,-0.2396484,28.76277,28.76272,28.78096,30.89072,23.12078,23.16079,23.22539,25.03654,271.2245,-9,5.021454,-9,3.649018,-9,3.928683,-9,2.6484,-9,1.833592,-9,1.358163,-9,0.7501091,-9,0.1692503,-9,3,0.2554957,0.3602636,0.3890703,0.375068,0.6632013,-0.07734767,0,0,0,3.684308,1.090842,0.000234626,0.2304705,0.1506228,-9,,,
8,4/1/2018 3:00,WB-I-0008,71.898987,-144.316223,0,211,498,-3.72,-1.57,-1.57,-1.57,-1.56,-1.55,-1.39,-0.57,-1.561,-1.5599,-1.5577,-0.237,28.7392,28.74133,28.76099,30.90356,23.10167,23.14343,23.20927,25.0468,104.5374,-9,1.81128,-9,1.41597,-9,1.5004,-9,1.08339,-9,0.758,-9,0.44901,-9,0.29768,-9,0,-9,2.38,0.09772997,0.1304186,0.1165226,0.1100081,0.242559,-0.13728,0,0,0,1.278822,1.0884,0.00023436,0.2299,0.1267282,-9,,,
8,4/1/2018 4:00,WB-I-0008,71.896149,-144.312256,0,211,498,-3.8,-1.56,-1.56,-1.57,-1.56,-1.56,-1.46,-0.53,-1.5609,-1.5599,-1.5599,-0.216,28.73123,28.73481,28.75048,30.90347,23.0952,23.13815,23.20077,25.0459,46.7082,-9,0.7547,-9,0.47199,-9,0.60016,-9,0.46431,-9,0.3032,-9,0.14967,-9,1.00E-10,-9,0,-9,3.33,0.001314988,0.01194235,0.008230965,0.01298405,0.08434853,-0.1813239,0,0,0,0.2899476,1.0884,0.00023436,0.2178,0.1497697,-9,,,
8,4/1/2018 5:00,WB-I-0008,71.892592,-144.3092,0,211,498,-4.319355,-1.56,-1.56,-1.56,-1.55,-1.55,-1.54871,-0.4722581,-1.55881,-1.556094,-1.555936,-0.226371,28.73159,28.73137,28.7447,30.84266,23.09547,23.13531,23.19604,24.99724,6.082597,-9,0.005292227,-9,0.002486128,-9,0.001798875,-9,0.00190516,-9,0,-9,0,-9,0.000202516,-9,0,-9,2.94,-0.07217132,-0.07789113,-0.0667156,-0.05144232,-0.06277063,-0.2110064,0,0,0,0,1.088401,0.000234375,0.21807,0.149776,-9,,,
8,4/1/2018 6:00,WB-I-0008,71.888863,-144.307205,0,211,497,-5.11,-1.55,-1.55,-1.56,-1.55,-1.54,-1.52,-0.42,-1.5519,-1.5511,-1.5515,-0.211,28.71234,28.7115,28.7156,30.89919,23.07977,23.11913,23.17238,25.04225,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,4.9,-0.1349513,-0.1635308,-0.1467186,-0.1232063,-0.179549,-0.2278543,0,0,0,0,1.0884,0.00023436,0.2057,0.1497697,-9,,,
8,4/1/2018 7:00,WB-I-0008,71.884766,-144.305033,0,210,497,-5.959032,-1.56,-1.56,-1.56,-1.55,-1.540323,-1.433548,-0.4893548,-1.555013,-1.554235,-1.551636,-0.2322419,28.70249,28.70061,28.7052,30.84508,23.07134,23.10985,23.16347,24.99895,0.000523485,-9,2.72E-05,-9,1.28E-05,-9,9.24E-06,-9,9.79E-06,-9,0,-9,0,-9,1.04E-06,-9,0,-9,4.96,-0.1859691,-0.24092,-0.2256716,-0.1961095,-0.2614894,-0.2333945,0,0,0,0,1.0884,0.000234355,0.1939108,0.1492918,-9,,,
8,4/1/2018 8:00,WB-I-0008,71.880157,-144.302139,0,210,496,-6.62,-1.56,-1.56,-1.56,-1.55,-1.54,-1.54,-0.46,-1.5563,-1.5542,-1.5518,-0.2234,28.6973,28.69602,28.7106,30.8596,23.06714,23.10613,23.16784,25.01032,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,4.81,-0.224169,-0.3060017,-0.2974683,-0.2639537,-0.3113417,-0.229154,0,0,0,0,1.0884,0.00023436,0.2057,0.1267282,-9,,,
8,4/1/2018 9:00,WB-I-0008,71.875496,-144.299164,0,210,496,-6.79,-1.56,-1.56,-1.56,-1.55,-1.54,-1.55,-0.58,-1.5575,-1.5557,-1.5471,-0.2165,28.69588,28.69964,28.79026,31.01754,23.066,23.10908,23.23241,25.13749,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,4.96,-0.2484951,-0.3547191,-0.3560023,-0.3205404,-0.331856,-0.2166597,0,0,0,0,1.0884,0.00022599,0.1936,0.1267282,-9,,,
8,4/1/2018 10:00,WB-I-0008,71.871,-144.294677,0,210,496,-7.399355,-1.56,-1.56,-1.56,-1.559677,-1.55,-1.55,-0.4977419,-1.558555,-1.557536,-1.558077,-0.2282258,28.71129,28.71227,28.72889,30.86137,23.07852,23.11935,23.18276,25.01194,3.26E-07,-9,0,-9,0.000000017,-9,1.45E-08,-9,1.02E-08,-9,1.06E-08,-9,0,-9,0,-9,1.00E-10,-9,5.77,-0.2578917,-0.3830154,-0.3951674,-0.3596714,-0.3257819,-0.1974386,0,0,0,0,1.0884,0.000234357,0.2057855,0.1268393,-9,,,
8,4/1/2018 11:00,WB-I-0008,71.866302,-144.289505,0,210,496,-8.03,-1.56,-1.56,-1.56,-1.56,-1.56,-1.55,-0.54,-1.5592,-1.5584,-1.5586,-0.2167,28.72048,28.72752,28.74148,30.95792,23.08598,23.13173,23.19298,25.08939,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,6.13,-0.2513028,-0.3868337,-0.408857,-0.3751482,-0.2958696,-0.1730174,0,0,0,0,1.0884,0.00022599,0.2057,0.1382489,-9,,,
8,4/1/2018 12:00,WB-I-0008,71.861656,-144.283508,0,210,497,-8.93,-1.56,-1.57,-1.57,-1.56,-1.56,-1.56,-0.47,-1.5604,-1.5608,-1.5612,-0.2159,28.73686,28.74166,28.74848,30.9006,23.09929,23.14323,23.19868,25.04311,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,5.72,-0.2276728,-0.3621173,-0.390965,-0.3607726,-0.2448689,-0.1449232,0,0,0,0,1.0884,0.00022599,0.2057,0.1382489,-9,,,
8,4/1/2018 13:00,WB-I-0008,71.857109,-144.27623,0,210,496,-10.39,-1.57,-1.57,-1.57,-1.56,-1.56,-1.56,-0.65,-1.5635,-1.5629,-1.5631,-0.2114,28.75127,28.75143,28.75575,30.99008,23.11101,23.15118,23.20461,25.11513,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,6.53,-0.1859457,-0.3048092,-0.3353849,-0.3103461,-0.1755296,-0.1146829,0,0,0,0,1.0884,0.00023436,0.2057,0.1382489,-9,,,
8,4/1/2018 14:00,WB-I-0008,71.852372,-144.268897,0,210.9677,497,-11.72452,-1.57,-1.560323,-1.57,-1.56,-1.56,-1.56,-0.6206452,-1.562542,-1.562213,-1.562129,-0.2172548,28.7536,28.75499,28.76044,30.90263,23.11335,23.15453,23.20886,25.04526,0.9120948,-9,0,-9,0.000463604,-9,0.000418318,-9,0.000630887,-9,0.000491037,-9,0,-9,0,-9,4.51E-06,-9,5.38,-0.1250659,-0.2108527,-0.2360103,-0.2176706,-0.09060178,-0.08382342,0,0,0,0,1.0884,0.000234142,0.2056796,0.1385599,-9,,,
8,4/1/2018 15:00,WB-I-0008,71.847183,-144.261642,0,211,497,-12.34,-1.57,-1.56,-1.57,-1.56,-1.56,-1.56,-0.67,-1.5634,-1.5628,-1.5628,-0.2434,28.76273,28.76044,28.76837,30.78248,23.12079,23.15898,23.21532,24.94934,24.4662,-9,0.30188,-9,0.15733,-9,0.15004,-9,0.15477,-9,0.1516,-9,0,-9,0,-9,0,-9,5.26,-0.04397745,-0.07619087,-0.08673503,-0.07654749,0.00716474,-0.05387163,0,0,0,0.02065771,1.0884,0.00023436,0.2057,0.1382489,-9,,,
8,4/1/2018 16:00,WB-I-0008,71.841797,-144.254944,0,210,496,-12.69,-1.57,-1.57,-1.57,-1.56,-1.56,-1.56,-0.69,-1.5678,-1.5669,-1.5671,-0.2057,28.76902,28.76958,28.77362,30.99917,23.12546,23.16596,23.21915,25.12224,108.4297,-9,1.96222,-9,1.41597,-9,1.35036,-9,1.08339,-9,0.758,-9,0.59868,-9,0.29768,-9,0,-9,6.92,0.05837543,0.09408683,0.1020349,0.1017976,0.2225303,-0.02635449,0,0,0,1.102735,1.0884,0.00023436,0.2057,0.1497697,-9,,,
8,4/1/2018 17:00,WB-I-0008,71.836304,-144.248856,0,210,496,-12.26,-1.57,-1.57,-1.57,-1.57,-1.56,-1.56,-0.66,-1.57,-1.5685,-1.567,-0.2551,28.77333,28.77357,28.78018,30.88436,23.12899,23.16921,23.22447,25.03153,202.7358,-9,4.22632,-9,3.1466,-9,3.60096,-9,2.47632,-9,1.8192,-9,1.34703,-9,0.7442,-9,0.16546,-9,6.37,0.2172174,0.311824,0.3414105,0.3288212,0.5828516,-0.002798907,0,0,0,3.222846,1.0884,0.00022599,0.2178,0.1382489,-9,,,
8,4/1/2018 18:00,WB-I-0008,71.830788,-144.24231,0,210,496,-11.97,-1.57,-1.57,-1.58,-1.57,-1.56,-1.56,-0.72,-1.5704,-1.5698,-1.5699,-0.2616,28.78106,28.78217,28.78924,30.8063,23.13526,23.1762,23.23186,24.96879,305.6051,-9,5.88666,-9,4.24791,-9,4.95132,-9,3.40494,-9,2.5772,-9,1.94571,-9,1.04188,-9,0.16546,-9,8.18,0.340611,0.4721324,0.5018724,0.475275,0.8201673,0.01526819,0,0,0,4.705467,1.0884,0.00023436,0.2178,0.1497697,-9,,,
8,4/1/2018 19:00,WB-I-0008,71.825027,-144.235611,0,209,494,-11.91,-1.57,-1.57,-1.58,-1.57,-1.57,-1.55,-0.68,-1.5706,-1.5701,-1.5699,-0.2829,28.79906,28.80149,28.83015,30.84119,23.14939,23.1914,23.26457,24.99729,441.9485,-9,9.0564,-9,6.76519,-9,7.502,-9,5.41695,-9,3.9416,-9,2.9934,-9,1.63724,-9,0.33092,-9,8.21,0.520408,0.7331855,0.8045035,0.7676821,1.272653,0.02631989,0,0,0,7.377211,1.0884,0.00023436,0.2178,0.1382489,-9,,,
