DeviceName,deviceId,DataDateTime,GPSLatitude,GPSLongitude,SST,TempPod1,TempPod2,TempPod3,TempPod4,TempPod5,TempPod6,TempPod7,PressPod1,PressPod2,LI_192_1,LI_192_1_StdDev,LI_192_2,LI_192_2_StdDev,LI_192_3,LI_192_3_StdDev,OCR_1_412nm,OCR_1_443nm,OCR_1_555nm,OCR_1_PAR,OCR_1_StdDev,OCR_2_412nm,OCR_2_443nm,OCR_2_555nm,OCR_2_PAR,OCR_2_StdDev,OCR_3_412nm,OCR_3_443nm,OCR_3_555nm,OCR_3_PAR,OCR_3_StdDev,ECO_460CDOM,ECO_532nm,ECO_695Chl
WB-I-0003,1857,3/25/2015 0:00,71.915428,-148.465042,22.81,-1.620000005,-1.620000005,-1.620000005,-1.629999995,-1.629999995,0,-1.649999976,103,207,17.19223022,-9,10.45958996,-9,0,-9,0.596810579,0.719125927,0.315224499,4.790379047,-9,0.428900302,0.616368592,0.193134606,2.753081083,-9,0.171611607,0.345965296,0.123130798,2.341675043,-9,2.086100102,0.00020959,0.0968
WB-I-0003,1857,3/25/2015 1:00,71.91563167,-148.4716543,19.70201,-1.620000005,-1.620000005,-1.622769952,-1.631922722,-1.630017757,-32.08790207,-1.646754026,102.9995651,207.0227051,13.05897496,-9,7.944105193,-9,0,-9,0.468071913,0.558565478,0.239167387,3.723518714,-9,0.33252281,0.473122235,0.1335195,1.881048702,-9,0.134724597,0.276482285,0.100469323,1.915717442,-9,2.103173319,0.00020659,0.084102915
WB-I-0003,1857,3/25/2015 2:00,71.91583533,-148.4782667,18.72801,-1.620000005,-1.620000005,-1.621654868,-1.630384088,-1.630026579,-72.8818512,-1.642631054,102.9993439,207.0340424,8.283982481,-9,5.09691543,-9,0,-9,0.318833467,0.372852196,0.151852495,2.497253007,-9,0.226097766,0.315319837,0.069092553,0.954432506,-9,0.091940697,0.195602031,0.074732283,1.432422384,-9,2.111709928,0.000205089,0.071704375
WB-I-0003,1857,3/25/2015 3:00,71.916039,-148.484879,17.87,-1.620000005,-1.620000005,-1.620000005,-1.629999995,-1.629999995,-99,-1.639999986,103,207,4.003670216,-9,2.461080074,-9,0,-9,0.178046301,0.201023594,0.075237662,1.407919049,-9,0.1320263,0.180811793,0.02046934,0.266036212,-9,0.05141893,0.119558901,0.052888289,0.998959005,-9,2.086100102,0.000202363,0.084700003
WB-I-0003,1857,3/25/2015 4:00,71.916611,-148.492691,16.24,-1.620000005,-1.620000005,-1.620000005,-1.629999995,-1.629999995,-99,-1.639999986,103,207,1.17754996,-9,0.61527002,-9,0,-9,0.072309807,0.07665132,0.028317999,0.686032475,-9,0.066549227,0.093916737,0.001628383,0.011773762,-9,0.02055209,0.06329684,0.040127732,0.706704378,-9,1.995399952,0.000202363,0.120999999
WB-I-0003,1857,3/25/2015 5:00,71.917175,-148.5009,16.14,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-1.629999995,-99,-1.639999986,103,207,0,-9,0,-9,0,-9,0.017488061,0.01280518,0.01320503,0.337079197,-9,0.02829342,0.041063938,0,0,-9,0.003994349,0.03537377,0.034744389,0.573011994,-9,1.904700041,0.000216817,0.108900003
WB-I-0003,1857,3/25/2015 6:00,71.917694,-148.509399,16.34,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-1.629999995,-99,-1.639999986,103,206,0,-9,0,-9,0,-9,0.01044377,0.006335078,0.01161599,0.329567999,-9,0.02423349,0.036797479,0,0,-9,0.00237745,0.032544371,0.03378671,0.547876,-9,2.086100102,0.00020959,0.0968
WB-I-0003,1857,3/25/2015 7:00,71.918388,-148.518021,16.75,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-1.629999995,-99,-1.639999986,103,206,0,-9,0,-9,0,-9,0.01158105,0.006401553,0.01219985,0.313103795,-9,0.0241112,0.036058419,0,0,-9,0.002511802,0.03341978,0.03402989,0.54979229,-9,2.086100102,0.000202363,0.108900003
WB-I-0003,1857,3/25/2015 8:00,71.919289,-148.527313,17.21,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-99,-1.639999986,103,206,0,-9,0,-9,0,-9,0.01131172,0.006255043,0.0119328,0.317745298,-9,0.02365585,0.035907019,0,0,-9,0.002396142,0.033252351,0.03470581,0.549701989,-9,1.995399952,0.000202363,0.0968
WB-I-0003,1857,3/25/2015 9:00,71.919998,-148.53743,17.3,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-1.620000005,-99,-1.629999995,102,206,0,-9,0,-9,0,-9,0.01131172,0.005829606,0.01209204,0.320492387,-9,0.023921009,0.035499189,0,0,-9,0.002085672,0.033113621,0.034681201,0.558556199,-9,2.086100102,0.000202363,0.108900003
